<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,20110311,000000,42.67,43.571,42.669,43.532,135781136,0
AAPL.US,D,20110314,000000,43.641,44.086,43.448,43.727,125904097,0
AAPL.US,D,20110315,000000,42.274,43.021,42.058,42.718,208011175,0
AAPL.US,D,20110316,000000,42.275,42.422,40.349,40.812,333006216,0
AAPL.US,D,20110317,000000,41.668,41.999,40.894,41.385,190182464,0
AAPL.US,D,20110318,000000,41.662,41.823,40.811,40.894,217386734,0
AAPL.US,D,20110321,000000,41.57,42.016,41.461,41.961,119278014,0
AAPL.US,D,20110322,000000,42.366,42.372,41.942,42.199,94142191,0
AAPL.US,D,20110323,000000,41.955,42.073,41.548,41.946,107666178,0
AAPL.US,D,20110324,000000,42.277,42.79,41.91,42.665,116806858,0
AAPL.US,D,20110325,000000,43.039,43.539,42.915,43.476,129587693,0
AAPL.US,D,20110328,000000,43.686,43.819,43.338,43.338,89162824,0
AAPL.US,D,20110329,000000,42.978,43.405,42.799,43.405,101690874,0
AAPL.US,D,20110330,000000,43.374,43.394,42.969,43.115,94908988,0
AAPL.US,D,20110331,000000,42.842,43.26,42.799,43.1,79072849,0
AAPL.US,D,20110401,000000,43.42,43.483,42.458,42.613,120717716,0
AAPL.US,D,20110404,000000,42.613,42.617,41.848,42.198,132558576,0
AAPL.US,D,20110405,000000,41.619,42.325,41.555,41.914,139376442,0
AAPL.US,D,20110406,000000,42.226,42.53,41.694,41.807,116077136,0
AAPL.US,D,20110407,000000,41.809,42.102,41.558,41.81,107741665,0
AAPL.US,D,20110408,000000,42.044,42.065,41.298,41.437,108819082,0
AAPL.US,D,20110411,000000,41.374,41.511,40.813,40.912,115145890,0
AAPL.US,D,20110412,000000,40.897,41.272,40.835,41.109,122770345,0
AAPL.US,D,20110413,000000,41.412,41.572,41.122,41.57,99913803,0
